Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,8.979999542236328,8.979999542236328,8.699999809265137,8.850000381469727,8.235275268554688,112350
2021-01-05,8.859999656677246,8.9399995803833,8.859999656677246,8.899999618530273,8.281801223754883,84000
2021-01-06,8.930000305175781,8.930000305175781,8.649999618530273,8.680000305175781,8.077082633972168,139663
2021-01-07,8.680000305175781,8.850000381469727,8.680000305175781,8.6899995803833,8.086387634277344,97216
2021-01-08,8.6899995803833,8.6899995803833,8.600000381469727,8.649999618530273,8.049166679382324,112001
2021-01-11,8.539999961853027,8.5600004196167,8.479999542236328,8.5,7.909585952758789,91580
2021-01-12,8.479999542236328,8.680000305175781,8.399999618530273,8.460000038146973,7.872364521026611,50824
2021-01-13,8.479999542236328,8.539999961853027,8.479999542236328,8.479999542236328,7.890974521636963,66078
2021-01-14,8.600000381469727,8.600000381469727,8.430000305175781,8.510000228881836,7.918891906738281,44000
2021-01-15,8.4399995803833,8.5600004196167,8.210000038146973,8.319999694824219,7.74208927154541,233003
2021-01-18,8.319999694824219,8.319999694824219,8.220000267028809,8.229999542236328,7.658339500427246,81775
2021-01-19,8.369999885559082,8.369999885559082,8.199999809265137,8.25,7.6769514083862305,65606
2021-01-20,8.229999542236328,8.229999542236328,8.050000190734863,8.0600004196167,7.500149250030518,73382
2021-01-21,8.0600004196167,8.170000076293945,8.029999732971191,8.079999923706055,7.518759727478027,42069
2021-01-22,8.119999885559082,8.130000114440918,8.0,8.050000190734863,7.490843296051025,59100
2021-01-25,8.020000457763672,8.149999618530273,8.020000457763672,8.149999618530273,7.583896636962891,62600
2021-01-26,8.100000381469727,8.149999618530273,8.039999961853027,8.09000015258789,7.528065204620361,32000
2021-01-27,8.149999618530273,8.149999618530273,8.039999961853027,8.100000381469727,7.537370681762695,51748
2021-01-28,8.130000114440918,8.1899995803833,8.069999694824219,8.100000381469727,7.537370681762695,138050
2021-01-29,8.130000114440918,8.1899995803833,8.100000381469727,8.130000114440918,7.565286159515381,210000
2021-02-01,8.130000114440918,8.210000038146973,8.130000114440918,8.149999618530273,7.583896636962891,35000
2021-02-02,8.180000305175781,8.289999961853027,8.15999984741211,8.210000038146973,7.6397294998168945,49009
2021-02-03,8.270000457763672,8.279999732971191,8.170000076293945,8.260000228881836,7.686256408691406,20051
2021-02-04,8.119999885559082,8.210000038146973,8.119999885559082,8.210000038146973,7.6397294998168945,75000
2021-02-05,8.130000114440918,8.229999542236328,8.130000114440918,8.15999984741211,7.593202590942383,49278
2021-02-17,8.289999961853027,8.300000190734863,8.199999809265137,8.270000457763672,7.69556188583374,111378
2021-02-18,8.149999618530273,8.390000343322754,8.149999618530273,8.270000457763672,7.69556188583374,118000
2021-02-19,8.319999694824219,8.319999694824219,8.220000267028809,8.239999771118164,7.667645454406738,60001
2021-02-22,8.319999694824219,8.390000343322754,8.319999694824219,8.369999885559082,7.7886152267456055,85103
2021-02-23,8.369999885559082,8.489999771118164,8.34000015258789,8.449999809265137,7.863059043884277,45168
2021-02-24,8.40999984741211,8.529999732971191,8.369999885559082,8.489999771118164,7.900280475616455,131000
